control_id,class,expected_call,anchor_type,anchor,proteome_short,gene_name,expected_origin,source,notes
POS_HEX1,positive,novel,protein_id,sp|P87252|HEX1_NEUCR,Ncra,hex-1,Pezizomycotina,"Woronin body organelle; Pezizomycotina-specific (multiple refs, e.g. Springer 'The Woronin Body: A Fungal Organelle Regulating Multicellularity')","CONFIRMED on the 2026-09-10 rerun (post DIAMOND_SELF --very-sensitive fix): self_hits/Ncra.paralog_cutoffs.tsv now correctly pairs hex-1 with eIF-5A (2.84e-06); the Mcir presence_matrix.tsv column flipped 1->0; sp|P87252|HEX1_NEUCR::Ncra is back in candidates.txt. Ready to use."
POS_LAH,positive,novel,protein_id,tr|V5IRA6|V5IRA6_NEUCR,Ncra,lah (NCU02793),Pezizomycotina,"Leashin, Woronin body tethering protein; Ng/Liu et al. PLOS Genetics 2009 (PMID 19543374); split into lah-1/lah-2 in Neurospora/Sordaria but a single NCU02793 locus in this UniProt annotation","Confirmed present in all 5 ingroup (1.1e-59 to 0.0, --very-sensitive diamond) and ZERO hit in any of the 6 outgroup proteomes even at e<=1 -- cleanest candidate of this set."
POS_ADA1,positive,novel,protein_id,tr|Q7SE74|Q7SE74_NEUCR,Ncra,ada-1,Pezizomycotina,user-supplied (hyphal anastomosis gene set),"Confirmed present in all 5 ingroup (3.7e-83 to 0.0). Outgroup: only 2 species show a marginal, almost certainly insignificant hit (CneoH99 1.8e-01, Mcir 5.7e-02); rest have none. Clean candidate."
POS_HAM5,positive,novel,protein_id,tr|V5IN79|V5IN79_NEUCR,Ncra,ham-5,Pezizomycotina,"Fu et al. 2011 Eukaryot Cell (PMC3068686), MAP kinase scaffold for cell fusion","Confirmed present in all 5 ingroup (4.3e-134 to 0.0). Outgroup: only marginal noise in Ccin (4.8e-01) and Scer (2.9e-01); rest have none. Clean candidate."
POS_HAM8,positive,novel,protein_id,tr|Q7SEK3|Q7SEK3_NEUCR,Ncra,ham-8,Pezizomycotina,user-supplied (hyphal anastomosis gene set),"Confirmed present in all 5 ingroup (6.3e-71 to 0.0). ZERO hit in any of the 6 outgroup proteomes even at e<=1. Clean candidate."
POS_SPA1,positive,novel,protein_id,tr|Q7SI25|Q7SI25_NEUCR,Ncra,spa-1,Pezizomycotina,"FungiDB (NCU00627, 'Septal pore-associated protein 1'); user-supplied septal-pore-gating gene set","Confirmed present in all 5 ingroup (7.4e-12 to 7.8e-303 -- Amega notably weaker than the rest, still significant). ZERO hit in any outgroup even at e<=1. Clean candidate."
EXAMPLE_EXCLUDED_SPA18,positive,novel,protein_id,tr|Q7SB60|Q7SB60_NEUCR,Ncra,spa-18,Pezizomycotina,"FungiDB (NCU06253, 'Septal pore-associated protein 18'); Zhou/Read PNAS 2012 (intrinsically disordered SPA proteins)","EXCLUDED as of 2026-09-10 rerun: Nirr's presence_matrix.tsv column is 1 (present) -- the 6.8e-08 cross-hit was NOT disqualified by the paralog-competition filter, so spa-18 does not appear in candidates.txt on real data. Either Nirr has a real distant ortholog (contradicting Pezizomycotina-specificity) or this is an uncaught paralog artifact needing its own root-cause, same class as hex-1 but unresolved. Do not use until investigated."
NEG_BUSCO01,negative,core,busco,100036at4751,,eukaryotic translation initiation factor 3,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes (this study's own busco_pezizo5 run, run_fungi_odb12/full_table.tsv). Must never be called novel."
NEG_BUSCO02,negative,core,busco,100149at4751,,dephospho-CoA kinase,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO03,negative,core,busco,100207at4751,,Krr1,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO04,negative,core,busco,100378at4751,,dna polymerase,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO05,negative,core,busco,100402at4751,,DNA-directed RNA polymerase,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO06,negative,core,busco,100615at4751,,proteasome regulatory subunit,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO07,negative,core,busco,100726at4751,,leucyl-tRNA synthetase,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO08,negative,core,busco,100952at4751,,Ribulose-phosphate 3-epimerase,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO09,negative,core,busco,101010at4751,,V-type ATPase subunit E,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
NEG_BUSCO10,negative,core,busco,10105at4751,,multiprotein bridging factor,pan-fungal,fungi_odb12 (BUSCO 6.0.0),"Complete/single-copy in all 11 pezizo_set1 proteomes. Must never be called novel."
